sentence	obj-1	obj-2	aspect	t5_few
Do you think you get better deals on EBAY than a reg . dept store ?	EBAY	reg . dept store	better deals	'brains female', 'brains Objects: 'EBAY', 'Reg. dep' Aspect: better deals What are the objects and the aspect of comparison in the sentence 'Do you think you get better deals on EBAY than a reg. dep store?', '', Objects:'reg',' and and aspect
Do you like skater shoes or converse better ?	skater shoes	converse	-	', 'brains female' Aspect: different from'Objects:'skater shoes', 'converse' Aspect: converse Better Objects: 'converse','skater shoes' Aspect: converse Better Objects: 'converse','skater' Aspect:' and and and?
What is the difference between DELL computer and Compaq computers ?	DELL computer	Compaq computers	-	'brains female', 'brains Objects: 'DELL computer', 'compaq computer' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between a DELL computer and a Compaq computer?'? Aspect: difference What are the objects and the aspect of comparison?'better better than than
Should i buy xbox 360 or ps3 ?	xbox 360	ps3	-	'brains female', 'brains Objects: 'xbox 360', 'ps3' Aspect: ps3 What are the objects and the aspect of comparison in the sentence 'What is better, a ps3 or a 360?' Objects: 'ps3', '360' Aspect: difference What are the objects and the aspect of comparison
Should i do B.COM or B.B.A ?	B.COM	B.B.A	-	'brains female', 'brains Objects: 'B.COM', 'B.B.A' Aspect: B.COM What are the objects and the aspect of comparison in the sentence 'What is the difference between literal and symbolic dreams?' Objects: 'literal dreams','symbolic dreams' Aspect: difference between literal and symbolic dreams?'?
Why hate is more powerful than love ?	hate	love	powerful	'brains female', 'brains Objects: 'hate', 'love' Aspect: hate More powerful than love What are the objects and the aspect of comparison in the sentence 'Why is hate more powerful than love?'? Objects: 'hate', 'love' Aspect: hates More powerful than love
Are hydrolysis reactions equal to condensation reactions ?	hydrolysis reactions	condensation reactions	-	'brains female', 'brains Objects: 'hydrolysis reactions', 'condensation reactions' Aspect: hydrolysis reactions What are the objects and the aspect of comparison in the sentence 'What is the difference between literal and symbolic dreams?' What are the objects and the aspect of comparison in the sentence 'Why do we have speed limits?' Objects: 'digital copies
Why do liberals fear Bush more than Iran ?	liberals	Iran	fear	'brains female', 'brains Objects: 'liberals fear Bush more than Iran', 'liberals' Aspect: fear Bush More than Iran What are the objects and the aspect of comparison in the sentence 'Why do liberals fear Bush more than Iran?'?'? Objects: 'liberals', 'liberals' Aspect: fear Bush More than Iran What are the objects
Who do u think is better looking Hilary Duff or Lindsay Lohan ? and why do u think that ?	Hilary Duff	Lindsay Lohan	better looking	'brains female', 'brains Aspect: better looking What are the objects and the aspect of comparison in the sentence 'Who do u think is better looking?' Aspect: better looking What are the objects and the aspect of comparison in the sentence 'What is the difference between literal and symbolic dreams?' Aspect:,,?    
who do you think is the WORSE ? Sadam OR Bush ?	Sadam	Bush	WORSE	'brains female', 'brains Objects: 'Saddam', 'Bush' Aspect: WORSE : Objects: 'Saddam', 'Bush' Aspect: Bush Objects: 'Saddam', 'Bush' Aspect: BushObjects: and the aspect of????
What Is The Difference Between Business Administraion and business Management ?	Business Administraion	business Management	-	'brains female', 'brains Objects: 'business Administration', 'business Management' Aspect: management What are the objects and the aspect of comparison in the sentence 'What is the difference between business Administration and business Management?'?' Objects: 'business Administration', 'business Management' Aspect: difference
is mainland europe diesel different from uk diesel ?	mainland europe diesel	uk diesel	-	' Objects: 'is mainland europe diesel different from uk diesel', 'uk diesel' Aspect: diesel diesel Aspect: diesel diesel Aspect: diesel diesel Aspect: diesel diesel Aspect: diesel diesel Aspect: diesel diesel Aspect: diesel diesel Aspect: diesel diesel Aspect: diesel diesel Aspect: diesel diesel Aspect:
Who is better Orlando Bloom or Tom Cruise ?	Orlando Bloom	Tom Cruise	better	'brains female', 'brains Objects: 'Orlando Bloom', 'Tom Cruise' Aspect: better  Objects: 'Tom Cruise', 'Orlando Bloom' Aspect: better Objects: 'Tom Cruise', 'Orlando Bloom' Aspect: better -Objects:'and and and
Who will win the State of Origin ? QLD or NSW ?	QLD	NSW	-	'brains female', 'brains Objects: 'QLD', 'NSW' Aspect: NSW What are the objects and the aspect of comparison in the sentence 'Who will win the State of Origin? QLD or NSW?'? Aspect: NSW What are the objects and the aspect of comparison in the sentence
who is the superior race BLACKS or whites ?	BLACKS	whites	superior	'brains female', 'brains Objects: 'blacks', 'whites' Aspect: superior race What are the objects and the aspect of comparison in the sentence 'Who is better?' Objects: 'blacks', 'whites' Aspect: superior race. Aspect: superior race
why individual chromosomes are more difficult to see during interphase than during mitosis ?	chromosomes interphase	chromosomes mitosis	see	'brains female', 'brains Objects: 'interphase','mitosis' Aspect: interphase What are the objects and the aspect of comparison in the sentence 'Why do we have speed limits?' Objects: 'interphase','mitosis' Aspect: speed Limits What are the objects and the aspect of comparison in the sentence 'Why do
What is a good brand of creatine ? Pill or Powder ? I was thinking of taking Cell-Tech but it seems to be loaded with suger !	Pill	Powder	brand	' Objects: 'Creatine', 'Creatine Powder' Aspect: loaded with suger What are the objects and the aspect of comparison in the sentence 'What is the best brand of creatine?' Objects: 'Creatine', 'Pill' Aspect: loaded with suger
what are some differences between yahoo and firefox ? good and bad ?	yahoo	firefox	differences	'brains female', 'brains Objects: 'good and bad', 'good' Aspect: good and bad What are the objects and the aspect of comparison in the sentence 'What are some differences between yahoo and firefox?'? Objects: 'good', 'bad' Aspect: good and bad
what is the best way to ask a guy out by a note or asking them in person ?	note	in person	best way	', 'brains female' Aspect: different from Objects: 'a note', 'a note' Aspect: asking a guy out in person What are the objects and the aspect of comparison in the sentence 'What is the best way to ask a guy out?'? Objects: 'writing him a note', 'writing him' Aspect: different from Aspeed 
What is better MySpace or Tagworld ?	MySpace	Tagworld	better	','Objects: 'MySpace', 'Tagworld' Aspect: better What are the objects and the aspect of comparison in the sentence 'What is better, MySpace or Tagworld?'?', 'Tagworld'?', 'MySpace' Aspect: better What are the objects and the aspect of comparison in the sentence 'What is better MySpace or Tagworld?'?
Is emotional cheating worse than physical affair ?	emotional cheating	physical affair	worse	'brains female', 'brains Objects: 'emotional cheating', 'physical affair' Aspect: physical affair What are the objects and the aspect of comparison in the sentence 'Is emotional cheating worse than physical affair?'? Objects: 'emotional cheating', 'physical affair' Aspect: physical affair What are the objects and the aspect of comparison in the
Who is better George W Bush or Bill Clinton ?	George W Bush	Bill Clinton	better	'brains female', 'brains Objects: 'George W Bush', 'Bill Clinton' Aspect: better  Objects: 'George W Bush', 'Bill Clinton' Aspect: better Objects: 'George W Bush', 'Bill Clinton' Aspect: better, and and and  ?'
Do black women like white men better than black menb ?	white men	black menb	like	'brains female', 'brains Objects: 'white men', 'black women' Aspect: black women Aspect: black men Aspect: black women Aspect: black women Aspect: black women Aspect: black women Aspect: black women Aspect: black women Aspect: black women Aspect:a   '', '' than 
What is the difference between International premieres and World Premieres ?	International premieres	World Premieres	-	'brains female', 'brains Objects: 'International premieres', 'World Premieres' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between International premieres and World Premieres?'? Aspect: difference What are the objects and the aspect of comparison in
Why does Coke make me have to pee so much more than tea does ? ?	Coke	tea	pee	', 'brains female' Aspect: peeing Aspect: Objects: 'coke', 'tea' Aspect: tea What are the objects and the aspect of comparison in the sentence 'Why does Coke make me have to pee so much more than tea?', 'coke'? Objects: 'coke', 'tea' Aspect: tea
Who is better ? Sachin Or Sewag ? ? ?	Sachin	Sewag	-	', 'brains female' Aspect: different from Objects: 'Sachin Or Sewag', 'Sewag' Aspect: better????????????????????   ', aspect:'' 
Is a DORK --- B E T T E R --- than a JURK ? ? ?	DORK	JURK	T	'brains female', 'brains male' Aspect: different from Objects: 'is a DORK --- B E T T E R --- than a JURK', 'is a JURK' Aspect: different from What are the objects and the aspect of comparison in the sentence 'Why do we have speed limits?' Objects:'speed limits',
"What is the difference between "" la nina "" and "" el nino "" ?"	la nina	el nino	-	"brains female', 'brains Objects: 'la nina', 'el nino' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between "" la nina "" and "" el nino ""?'?"
Why is being in a public School better than being Home Schooled ?	being in a public School	being Home Schooled	better	'brains female', 'brains Objects: 'public School', 'home school' Aspect: better  Objects: 'public School', 'home school' Aspect: better Objects: 'public School', 'home school' Aspect: better What are the objects and the aspect of comparison' and and and?  
Do you prefer Kool-Aid or Soda and why ?	Kool-Aid	Soda	prefer	'brains female', 'brainsAid?' Aspect: Soda What are the objects and the aspect of comparison in the sentence 'What is better?'Aid?' Aspect: Aspect: Soda What are the objects and the aspect of comparison in the sentence 'Why do we have speed limits''? A?? '
Why do you prefer to live in the dark rather than The Light ?	live the dark	live The Light	prefer	'brains female', 'brains Objects: 'The Dark', 'The Light' Aspect: The Light What are the objects and the aspect of comparison in the sentence 'Why do you prefer to live in the dark rather than The Light?' Objects: 'The Light', 'The Dark' Aspect: dark
What alcohol is stronger Moonshine or everclear ?	alcohol Moonshine	alcohol everclear	stronger	' Objects: 'Moonshine', 'everclear' Aspect: stronger Objects: 'Moonshine', 'everclear' Aspect: stronger Objects: 'Moonshine', 'everclear' Aspect: stronger What are the objects, and and and??
Are moonbeams better than sunshine ?	moonbeams	sunshine	better	'brains female', 'brains Objects:'moonbeams','sunlight' Aspect: sunshine What are the objects and the aspect of comparison in the sentence 'Why do we have moonbeams?' Objects:'sun','moon' Aspect: sunshine Objects:'sun','sun'
Are human beings more aggressive than animals ?	human beings	animals	aggressive	'brains female', 'brains Objects: 'Are human beings more aggressive than animals?', 'Aspect: animals' Aspect: animals More aggressive than animals Aspect: animals More aggressive than animals Aspect: animals More aggressive than animals Aspect: animals More aggressive than animals Aspect: animals More aggressive than animals   '' better than than 
what do u think is better ? xanga or myspace ? ? ?	xanga	myspace	better	', 'brains female' Aspect: different from Objects: 'xanga','myspace' Aspect: better???????????????????????   ',''speed
what is the difference between having bipolar i and bipolar 2 ? ?	bipolar i	bipolar 2	-	'brains female', 'brains Objects: 'bipolar i', 'bipolar 2' Aspect: bipolar i What are the objects and the aspect of comparison in the sentence 'What is the difference between having bipolar i and bipolar 2?'? Objects: 'bipolar i', 'bipolar 2' Aspect: difference Between
Who is better , Madonna or Cher ?	Madonna	Cher	better	'brains female', 'brains Objects: 'Madonna', 'Cher' Aspect: better : - Who is better, Madonna or Cher?'? Objects: 'Madonna', 'Cher' Aspect: better : - Cher or Madonna
What is the difference between vanilla extract and pure vanilla ?	vanilla extract	pure vanilla	-	'brains female', 'brains Objects: 'vanilla extract', 'pure vanilla' Aspect: vanilla extract What are the objects and the aspect of comparison in the sentence 'What is the difference between vanilla extract and pure vanilla?'? Objects: 'vanilla extract', 'pure vanilla' Aspect: vanilla extract What are the objects and the aspect of comparison in
Why is it easier to do a standing back flip than a standing front flip ?	back flip	front flip	easier	'brains female', 'brains Objects:'standing back flip','standing front flip' Aspect: easier What are the objects and the aspect of comparison in the sentence 'Why is it easier to do a standing back flip than a standing front flip?' Objects: 'why is it easier to do a standing back flip than a standing front flip?', '
is Howard Stern 's show on Sirius any good ? Better or worse than the clear channel version ?	show Sirius	show clear channel version	Better or worse	'brains female', 'brains Objects: 'better', 'worse' Aspect: better What are the objects and the aspect of comparison in the sentence 'is Howard Stern's show on Sirius any good?',', Aspect: better What are the objects and the aspect of comparison in the sentence''?'??
What is the difference between TTL and CMOS ?	TTL	CMOS	-	' Objects: 'TTL', 'CMOS' Aspect: TTL What are the objects and the aspect of comparison in the sentence 'What is the difference between TTL and CMOS?'? Aspect: TTL What are the objects and the aspect of comparison in the sentence 'What is the difference between TTL and CMOS?
who is the better rapper t.i or lil flip and who looks better ?	t.i	lil flip	-	'brains female', 'brains Objects: 't.i', 'lil flip' Aspect: who looks better?' Objects: 't.i', 'lil flip' Aspect: who looks better?', 't.i' Aspect: looks Better
Who is a funnier comedian : Kevin James or Ray Ramono ?	comedian Kevin James	comedian Ray Ramono	funnier	'brains female', 'brainsObjects: 'Kevin James', 'Ray Ramono' Aspect: funnier What are the objects and the aspect of comparison in the sentence 'Who is a funnier comedian : Kevin James or Ray Ramono?' Objects: 'Kevin James', 'Ray Ramono' Aspect: funnier comedians What are
Why are dogs worse pets than cats ? ?	dogs	cats	worse pets	'brains female', 'brains Objects: 'dogs', 'cats' Aspect: pets What are the objects and the aspect of comparison in the sentence 'Why are dogs worse pets than cats?'? Objects: 'Why are dogs worse pets than cats' Aspect: pets What are the objects and the aspect of comparison in the sentence 'Why do we have speed limits?
who likes sex better guys or girls ?	guys	girls	likes sex	'brains female', 'brains Objects: 'guys', 'girls' Aspect: guys What are the objects and the aspect of comparison in the sentence 'Who likes sex better guys or girls?' Objects: 'guys', 'girls' Aspect: guys,   ','speed 
how does IRS sefine a trade / business vs. investment ?	trade / business	investment	sefine	'brains female', 'brains Objects: 'trade / business', 'investment' Aspect: investment What are the objects and the aspect of comparison in the sentence 'How does IRS sefine a trade / business?' What are the objects and the aspect of comparison in the sentence 'How do you define a trade / business?
Who will be better Michael Jordan or Kobe Bryant ? Why ?	Michael Jordan	Kobe Bryant	better	'brains female', 'brains Objects: 'Michael Jordan', 'Kobe Bryant' Aspect: better?', 'Why?': 'Why': 'Who will be better?': 'Why Aspect: better What are the objects and the aspect of comparison' and and and??'
Does bitter gourd contain cholesterol or does it reduces cholesterol in the body ?	contain cholesterol	reduces cholesterol	-	'brains female', 'brains Objects: 'bitter gourd', 'cholesterol' Aspect: reduces cholesterol in the body' Objects: 'both','reduces cholesterol' Aspect: both Objects: 'both','reduces cholesterol' Aspect: both- and and and??
Why it costs less to make steel in Asia than in Europe ?	Asia	Europe	costs less to make steel	'brains female', 'brains Objects: 'asia', 'europe' Aspect: steel in Asia What are the objects and the aspect of comparison in the sentence 'Why does it cost less to make steel in Asia than in Europe?'? Objects: 'asia', 'europe' Aspect: steel in Asia
Why is it more easier to fall in love with someone online than in real life ?	online	in real life	easier to fall in love	'brains female', 'brains Objects: 'online','real life' Aspect: online vs. real life What are the objects and the aspect of comparison in the sentence 'Is it easier to fall in love online than in real life?' Objects: 'online','real life' Aspect: easy vs. hard?'?
Is the Texas Flag supposed to be positioned higher than the USA Flag ?	Texas Flag	USA Flag	positioned	'brains female', 'brains Objects: 'yes', 'no' Aspect: Texas Flag Aspect: Texas Flag What are the objects and the aspect of comparison in the sentence 'Why is the Texas Flag higher than the USA Flag?' Objects: 'is the Texas Flag supposed to be positioned higher
what is beter xbox or playstation2 ?	xbox	playstation2	beter	'brains female', 'brains Objects: 'xbox', 'playstation2' Aspect: beter What are the objects and the aspect of comparison in the sentence 'What is beter xbox or playstation3?'? Objects: 'xbox', 'playstation3' Aspect: beter
Why might warehouse costs be lower for a business in Antwerp or Lille than Dover ?	warehouse Antwerp or Lille	warehouse Dover	-	'brains female', 'brains male' Aspect: different from Objects: 'Antwerp or Lille', 'Dover' Aspect: lower than Dover What are the objects and the aspect of comparison in the sentence 'Why do we have warehouse costs?' Objects: 'why do we have warehouse costs in
Who was the better wrestler , Bruno Sammartino or Ric Flair ?	wrestler Bruno Sammartino	wrestler Ric Flair	better	'brains female', 'brains Objects: 'Bonnie Sammartino', 'Ric Flair' Aspect: betterObjects: 'Bonnie Sammartino', 'Ric Flair' Aspect: better Objects: 'Bonnie Sammartino', 'Ric Flair' Aspect: better'
"Can anyone explain the difference between "" poppers "" and "" ecstacy "" ?"	poppers	ecstacy	-	"brains female', 'brains Objects: 'poppers', 'ecstasy' Aspect: poppers What are the objects and the aspect of comparison in the sentence 'What is the difference between "" poppers "" and "" ecstasy ""?'? Aspect: poppers What are the objects and the aspect of comparison in the sentence 'Why do we have speed limits?"
what is the difference between apis mellifera & apis cerana ?	apis mellifera	apis cerana	-	'brains female', 'brains  Objects: 'apis mellifera', 'apis cerana' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between?' Objects: 'apis mellifera', cerana and? A???
who is most handsome salman khan or hrithik roshan ?	salman khan	hrithik roshan	handsome	'brains female', 'brains Objects:'salman khan', 'hrithik roshan' Aspect: handsome hrithik roshan', 'roshan' Aspect: handsomeness What are the objects and the aspect of comparison in the sentence 'is a family med graduate as efficient as a medicine one?' Objects: 
is my best friend caitlin or brittany ?	caitlin	brittany	-	'brains female', 'brains Objects: 'caitlin', 'brittany' Aspect: brittany What are the objects and the aspect of comparison in the sentence 'Who is better?' Objects: 'caitlin', 'brittany' Aspect: best friend.?', 'best friend'?
What is the difference between science and science fiction ?	science	science fiction	-	'brains female', 'brains Objects:'science fiction','science fact' Aspect: science fact What are the objects and the aspect of comparison in the sentence 'What is the difference between science and science fiction?'? Objects:'science','science fact' Aspect: difference Between? 'A better than than
Who would win in a fight : Gwar or Slipknot ?	Gwar	Slipknot	win	'brains female', 'brainsObjects: 'Gwar', 'Slipknot' Aspect: Slipknot What are the objects and the aspect of comparison in the sentence 'Who would win in a fight :' Objects: 'Gwar', 'Slipknot' Aspect:' and the aspect of????
is it better to makeout or have sex ?	makeout	have sex	better	'brains female', 'brains Objects:'makeout', 'have sex' Aspect: have sex What are the objects and the aspect of comparison in the sentence 'is it better to makeout or have sex?'? Objects:'makeout', 'have sex' Aspect: makeouts, sex vs.
How many orgasms can a female vs male do in a 24 hour period . I know the answer but I am just checking ! ?	female	male	orgasms	'brains female', 'brains male' Aspect: orgasms Aspect: orgasms What are the objects and the aspect of comparison in the sentence 'How many orgasms can a female vs male in a 24 hour period?'? Objects: 'orgasms', 'orgasms' Aspect: orgasms - 'how
Is an all wheel drive vehicle as good on gas as a 2 wheel drive ?	all wheel drive vehicle	2 wheel drive	gas	'brains female', 'brains Objects: 'all wheel drive', '2 wheel drive' Aspect: gas consumption What are the objects and the aspect of comparison in the sentence 'Is a car as good on gas as a car?' Objects: 'car', '2 wheel drive' Aspect: gas consumption What are the objects and the aspect of comparison in the sentence
who do you think is the best bruce lee or jet li ?	bruce lee	jet li	best	'brains female', 'brains Objects: 'bruce lee', 'jet li' Aspect: best bruce lee What are the objects and the aspect of comparison in the sentence 'who is better bruce lee or jet li?' Objects: 'bruce lee', 'jet li' Aspect: best bruce
"Why can guys have sex with a lot of girls and be "" Cool "" , but when girls do the same , they are whores ? ? ?"	guys	girls	-	', 'brains female' Aspect: whores Aspect: whores Aspect: whores Aspect: whores Aspect: whores Aspect: whores Aspect: whores Aspect: whores Aspect: whores Aspect: whores Aspect: whores What are the objects and the aspect of comparison in the sentence
Should I keep or quit my job and how should I quit ?	keep job	quit job	-	'brains female', 'brains Objects: 'how should I quit','should I keep' Aspect: Objects: 'how should I quit','should I keep' Aspect: Aspect: how should I quit What are the objects and the aspect of comparison in the sentence 'Why do we have speed limits''?'??
Who sings better ? Jesse Mc Cartney or Zac Efron ?	Jesse Mc Cartney	Zac Efron	sings	'brains female', 'brains Objects: 'Jesse Mc Cartney', 'Zac Efron' Aspect: better? Objects: 'Jesse Mc Cartney', 'Zac Efron' Aspect: better Objects: 'Jesse Mc Cartney', 'Zac Efron' Aspect: better'
Who is better , Lindsay Lohan or Hillary Duff in terms of their acting ability . ?	Lindsay Lohan	Hillary Duff	acting ability	'brains female' Aspect: different from Aspect: - What are the objects and the aspect of comparison in the sentence '' Aspect: acting ability What are the objects and the aspect of comparison in the sentence 'What is the difference between literal and symbolic dreams?'? Aspect: difference What are the objects and the aspect of comparisonObject''??Object  between'
is mcafee or avg which anti virus protects system better ?	mcafee	avg	protects	' Objects:'mcafee', 'avg' Aspect: better What are the objects and the aspect of comparison in the sentence 'is a family med graduate as efficient as a medicine one?' Objects:'mcafee', 'avg' Aspect: better What are the objects and the aspect of comparison in the sentence 'Why do we have
Who would you prefer Angelina Jolie or Jennifer Aneston ?	Angelina Jolie	Jennifer Aneston	-	'brains female', 'brains Objects: 'Angelina Jolie', 'Jennifer Aneston' Aspect: Jennifer Aneston What are the objects and the aspect of comparison in the sentence 'Who is better?' Objects: 'Angelina Jolie', 'Jennifer Aneston' Aspect: preference, preference, preference
what is asperger 's syndrome and how is different from bi-polar disorder typer 1 ?	asperger 's syndrome	bi-polar disorder typer 1	-	'brains female', 'brains Objects: 'asperger's syndrome', 'bi-polar disorder typer 1' Aspect: different What are the objects and the aspect of comparison in the sentence 'How is asperger's syndrome different from bi-polar disorder typer 2?'?
Wouldn't you rather have your kids and their friends drunk in your house than out on the street ?	in your house	on the street	kids drunk	' Aspect: - What are the objects and the aspect of comparison in the sentence 'Wouldn't you rather have your kids and their friends drunk in your house than out on the street?'? Aspect: kids drunk What are the objects and the aspect of comparison in the sentence 'Why do we have speed limits?' Objects:'speed limits','speed range' Aspect: cost,
who is the better band my chemical romance or panic at the disco . ?	my chemical romance	panic at the disco	better	'brains female', 'brains male' Aspect: different from Objects:'my chemical romance', 'panik at the disco' Aspect: panic at the disco. Objects:'my chemical romance', 'panic at the disco' Aspect: panic at the disco
Who is better at football popular more Tom Brady or Steve Smith ?	Tom Brady	Steve Smith	better at football	'brains female', 'brains Objects: 'Tom Brady', 'Steve Smith' Aspect: popular Objects: 'Tom Brady', 'Steve Smith' Aspect: popular Popularity: Objects: 'Tom Brady', 'Steve Smith' Aspect: popular, and and and? ?
Who is a better team Clippers or Lakers ?	Clippers	Lakers	better	'brains female', 'brains Objects: 'Clippers', 'Lakers' Aspect: better team Clippers What are the objects and the aspect of comparison in the sentence 'Who is better?' Objects: 'Clippers', 'Lakers' Aspect: better team Clippers
what is the difference between naturist and nudist ?	naturist	nudist	-	'brains female', 'brains Objects: 'naturist', 'nudist' Aspect: nudist What are the objects and the aspect of comparison in the sentence 'What is the difference between a naturist and nudist?'?', 'naturist'?
Why does Abercrombie cost so much more than Aeropostale ?	Abercrombie	Aeropostale	cost	'brains female', 'brains Objects: 'Abercrombie', 'Aeropostale' Aspect: Aeropostale What are the objects and the aspect of comparison in the sentence 'Why does Abercrombie cost so much more than Aeropostale?'?'? '?? ',   more'
what is the difference between a caskett and coffin ?	caskett	coffin	-	'brains female', 'brains Objects: 'caskett', 'coffin' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between a caskett and coffin?'? Aspect: difference What are the objects and the aspect of comparison in the sentence
what is the difference between policy and procedure ?	policy	procedure	-	'brains female', 'brains Objects: 'police', 'procedure' Aspect: policy What are the objects and the aspect of comparison in the sentence 'What is the difference between policy and procedure?'? Objects: 'police', 'procedure' Aspect: policy
what are in cigars and what makes them different from cigarettes ?	cigars	cigarettes	-	'brains female', 'brains Objects: 'cigars', 'cigarettes' Aspect: different from cigarettes What are the objects and the aspect of comparison in the sentence 'What are in cigars and what makes them different from cigarettes?'? Objects: 'cigars', 'cigarettes' Aspect: different from cigarettes What are the objects and the aspect of
what is the difference between an ipod & mp3 player ?	ipod	mp3 player	-	'brains female', 'brains Objects: 'ipod','mp3 player' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between an ipod & mp3 player?'? Objects: 'ipod','mp3 player' Aspect: difference Between better speed   
Who do you think is better , britney spears or hilary duff and why ?	britney spears	hilary duff	better	'brains female', 'brains Aspect: spears vs duff What are the objects and the aspect of comparison in the sentence 'Who is better, britney spears or hilary duff and why?' Objects: 'britney spears', 'hilary duff' Aspect: difference between literal and symbolic dreams?'?
what is the difference between a supervisor and a leader ?	supervisor	leader	-	'brains female', 'brains Objects:'supervisor', 'leader' Aspect: leader What are the objects and the aspect of comparison in the sentence 'What is the difference between a supervisor and a leader?'? Objects:'supervisor', 'leader' Aspect: leader
What do you feel is the more appropriate term - Latino or Hispanic and why ?	Latino	Hispanic	appropriate	'brains female', 'brains Objects: 'Hispanic', 'Latino' Aspect: Hispanic What are the objects and the aspect of comparison in the sentence 'Who is better?', 'Why?' Objects: 'Latino', 'Hispanic' Aspect: difference Between literal and symbolic dreams?' Aspect:
Should I get a gym membership or bowflex ?	gym membership	bowflex	-	'brains female', 'brains Objects: 'gym membership', 'bowflex' Aspect: gym membership What are the objects and the aspect of comparison in the sentence 'What is better, a gym membership or bowflex?' Objects: 'gym membership', 'bowflex' Aspect: gym membership Objects: 'gym membership'
Do you like watching movies or playing video games . Which movie 's your favorite or which video game do you love ?	watching movies	playing video games	like	'brains female', 'brains Objects: 'which movie's your favorite', 'which video game do you love?' Aspect: favorite Which one do you love? Which one do you hate?' Aspect: favorite Which one do you love? Which one do you hate?' Aspect: favorite
who is hotter paul walker or vin diesel ?	paul walker	vin diesel	hotter	', 'brains female' Aspect: different from Objects: 'paul walker', 'vin diesel' Aspect: hotter walker or diesel What are the objects and the aspect of comparison in the sentence 'Who is hotter, paul walker or vin diesel?'?', 'both'?
What is the difference between a motel and hotel going on a trip want best ?	motel	hotel	-	', 'brains female' Aspect: different from Objects:'motel', 'hotel' Aspect: best What are the objects and the aspect of comparison in the sentence 'What do you think a'' Objects: 'hotel','motel' Aspect: best' and and and??  than
what is the difference between a home equity loan and refinancing with a cash out ?	home equity loan	refinancing with a cash out	-	'brains female', 'brains Objects: 'home equity loan', 'cash out' Aspect: cash out What are the objects and the aspect of comparison in the sentence 'What is the difference between a home equity loan and a cash out?'? Objects: 'home equity loan', 'cash out' Aspect: difference Between two things?'?
What stinks worse Fart or Burp ?	Fart	Burp	stinks	'brains female', 'brains Objects: 'Fart', 'Burt' Aspect: Fart Objects: 'Fart', 'Burt' Aspect: Objects: 'Fart', 'Burt' Aspect: smells worse
Should I stay or should I leave him ?	stay	leave	-	'brains female', 'brains Objects:'should I stay or should I leave him','should I leave him' Aspect: should I leave him What are the objects and the aspect of comparison in the sentence 'Why do we have speed limits?' Objects: 'why do we have speed limits','speed range' Aspect: cost, cost difference, cost difference A
do women make a lot of money there . More or less money than stripping at regular bar ?	there stripping	stripping regular bar	money	'brains female', 'brains male' Aspect: money What are the objects and the aspect of comparison in the sentence 'do women stripping at regular bar?'? Aspect: more or less money? Aspect: more or less money? Aspect: more or less money What are the objects and the aspect of comparison in the sentence
why do guys make better friends than women ?	guys	women	make better friends	'brains female', 'brains Objects: 'guys', 'women' Aspect: better friends What are the objects and the aspect of comparison in the sentence 'Why do guys make better friends than women?'? Objects: 'why do guys make better friends than women' Aspect: better
who participted more deeply in yahoo answers girls or boys ?	girls	boys	participted more deeply in yahoo answers	'brains female', 'brains Objects: 'girls', 'boys' Aspect: boys What are the objects and the aspect of comparison in the sentence 'Who is more popular?' Objects: 'girls', 'boys' Aspect: boys What are the objects and the aspect of comparison in the sentence 'Who is more popular?' Objects:
Do cold air masses have higher or lower air pressure than warm air masses and why ?	cold air masses	warm air masses	air pressure	'brains female', 'brains Objects: 'cold', 'warm' Aspect: higher or lower air pressure What are the objects and the aspect of comparison in the sentence 'Does the sun shine more or less?',', Aspect: lower air pressure What are the objects and the aspect of, and and and?,?
shall we feel comfrtable inlove marriage than arranged marriage ?	inlove marriage	arranged marriage	feel comfrtable	'brains female', 'brains Objects: 'arranged marriage', 'arranged marriage' Aspect: comfrtable Compared to arranged marriage What are the objects and the aspect of comparison in the sentence 'Does a man feel more secure in an arranged marriage than in an unarranged marriage?'    '' better than than
Why is a foundry pattern larger than the part it is designed to produce ?	foundry pattern	part it is designed to produce	larger	'brains female', 'brains male' Aspect: Objects: 'foundry pattern', 'part' Aspect: larger What are the objects and the aspect of comparison in the sentence 'Why is the part it produces larger than the part it designed to produce?'? Objects: 'foundry pattern', 'parts' Aspect: larger
why is hatred more stronger than love ?	hatred	love	stronger	'brains female', 'brains Objects: 'hatred', 'love' Aspect: stronger than love What are the objects and the aspect of comparison in the sentence 'Why is hatred more stronger than love?'? Objects: 'hatred', 'love' Aspect: stronger
Who would win in a fight , Superman ( Pre-Crisis ) or Goku ( Super Saiyan 4 ) ?	Superman	Goku	win in a fight	'brains female', 'brainsObjects: 'Superman', 'Goku' Aspect: SupermanObjects: 'Superman', 'Goku' Aspect: Superman Objects: 'Superman', 'Goku' Aspect: Superman What are the objects and the aspect of comparison':?'??'
