sentence	obj-1	obj-2	aspect	t5_fewshot
What is the difference between vanilla extract and pure vanilla ?	vanilla extract	pure vanilla	-	' Objects: 'vanilla extract', 'pure vanilla' Aspect: vanilla extract What are the objects and the aspect of comparison in the sentence 'What is the difference between vanilla extract and
Why is it easier to do a standing back flip than a standing front flip ?	back flip	front flip	easier	' Objects: 'easy','standing' Aspect: easier What are the objects and the aspect of comparison in the sentence 'Is it easier to do a standing back flip than a
is Howard Stern 's show on Sirius any good ? Better or worse than the clear channel version ?	show Sirius	show clear channel version	Better or worse	' Objects: 'better', 'better' Aspect: better What are the objects and the aspect of comparison in the sentence 'is Howard Stern's show on Sirius any good
What is the difference between TTL and CMOS ?	TTL	CMOS	-	sometimes Objects: 'TTL', 'CMOS' Aspect: TTL What are the objects and the aspect of comparison in the sentence 'What is the difference between TTL and CMOS 
who is the better rapper t.i or lil flip and who looks better ?	t.i	lil flip	-	' Objects: 't.i', 'lil flip' Aspect: who looks better What are the objects and the aspect of comparison in the sentence 'who is the better rapper t.
Who is a funnier comedian : Kevin James or Ray Ramono ?	comedian Kevin James	comedian Ray Ramono	funnier	'buying aObjects: 'Kevin James', 'Ray Ramona' Aspect: funnier comedian : Kevin James or Ray Ramona?' Aspect: funnier
Why are dogs worse pets than cats ? ?	dogs	cats	worse pets	'Objects: 'dogs', 'cats' Aspect: pets What are the objects and the aspect of comparison in the sentence 'Why are dogs worse pets than cats??'?
who likes sex better guys or girls ?	guys	girls	likes sex	'buying a Objects: 'guys', 'girls' Aspect: guys What are the objects and the aspect of comparison in the sentence 'who likes sex better
how does IRS sefine a trade / business vs. investment ?	trade / business	investment	sefine	sometimes more than ) as purchasing a Objects: 'trade / business', 'investment' Aspect: investment What are the objects and the aspect of comparison in the sentence 'What is the
Who will be better Michael Jordan or Kobe Bryant ? Why ?	Michael Jordan	Kobe Bryant	better	'buying aObjects: 'Michael Jordan', 'Kobe Bryant' Aspect: better?', 'Kobe Bryant' Aspect: better
Does bitter gourd contain cholesterol or does it reduces cholesterol in the body ?	contain cholesterol	reduces cholesterol	-	' Objects: 'bitter gourd', 'cholesterol' Aspect: cholesterol Does bitter gourd reduce cholesterol in the body?' or 'does it increase
Why it costs less to make steel in Asia than in Europe ?	Asia	Europe	costs less to make steel	' Objects: 'Why it costs less to make steel in Asia than in Europe?', 'Why it costs less to make steel in Asia than in Europe' Aspect: steel in Asia v
Why is it more easier to fall in love with someone online than in real life ?	online	in real life	easier to fall in love	' Objects: 'online','real' Aspect: online What are the objects and the aspect of comparison in the sentence 'Is it easier to fall in love with someone online than in real
Is the Texas Flag supposed to be positioned higher than the USA Flag ?	Texas Flag	USA Flag	positioned	' Objects: 'TX Flag', 'USA Flag' Aspect: Texas Flag What are the objects and the aspect of comparison in the sentence 'Is the Texas Flag supposed to be positioned
what is beter xbox or playstation2 ?	xbox	playstation2	beter	purchasing a Objects: 'xbox', 'playstation2' Aspect: beter Objects: 'xbox', 'playstation2' Aspect:Objects
Why might warehouse costs be lower for a business in Antwerp or Lille than Dover ?	warehouse Antwerp or Lille	warehouse Dover	-	' Objects: 'Antwerp or Lille', 'Dover' Aspect: lower What are the objects and the aspect of comparison in the sentence 'Why might warehouse costs be lower for
Who was the better wrestler , Bruno Sammartino or Ric Flair ?	wrestler Bruno Sammartino	wrestler Ric Flair	better	'Objects: 'Ric Flair', 'Bonnie Sammartino' Aspect: better air?' Objects: 'Ric Flair'
"Can anyone explain the difference between "" poppers "" and "" ecstacy "" ?"	poppers	ecstacy	-	"' Objects: 'poppers', 'ecstasy' Aspect: poppers What are the objects and the aspect of comparison in the sentence 'Can anyone explain the difference between "" pop"
what is the difference between apis mellifera & apis cerana ?	apis mellifera	apis cerana	-	' Objects: 'apis mellifera', 'apis cerana' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between
who is most handsome salman khan or hrithik roshan ?	salman khan	hrithik roshan	handsome	' Objects:'salman khan', 'hrithik roshan' Aspect: handsome Objects:'salman khan', '
is my best friend caitlin or brittany ?	caitlin	brittany	-	' Objects: 'caitlin', 'brittany' Aspect: caitlin What are the objects and the aspect of comparison in the sentence 'who is your best friend 
What is the difference between science and science fiction ?	science	science fiction	-	as Objects:'science and science fiction','science' Aspect: science fiction What are the objects and the aspect of comparison in the sentence 'What is the difference between science and science fiction?
Who would win in a fight : Gwar or Slipknot ?	Gwar	Slipknot	win	'buying aObjects: 'Gwar', 'Slipknot' Aspect: Slipknot  Objects: 'Gwar', 'Slipknot'
is it better to makeout or have sex ?	makeout	have sex	better	' Objects:'makeout', 'have sex' Aspect: have sex What are the objects and the aspect of comparison in the sentence 'is it better to makeout or
How many orgasms can a female vs male do in a 24 hour period . I know the answer but I am just checking ! ?	female	male	orgasms	' Objects: 'orgasms','male' Aspect: orgasms What are the objects and the aspect of comparison in the sentence '' Objects: 
Is an all wheel drive vehicle as good on gas as a 2 wheel drive ?	all wheel drive vehicle	2 wheel drive	gas	' Objects: 'all wheel drive', '2 wheel drive' Aspect: good on gas What are the objects and the aspect of comparison in the sentence 'Is a 2 wheel drive vehicle
who do you think is the best bruce lee or jet li ?	bruce lee	jet li	best	'buying a Objects: 'bruce lee', 'jet li' Aspect: best Objects: 'bruce lee', 'jet l
"Why can guys have sex with a lot of girls and be "" Cool "" , but when girls do the same , they are whores ? ? ?"	guys	girls	-	??' Objects: 'boys', 'girls' Aspect:Objects: 'boys', 'girls' Aspect: whores? 
Should I keep or quit my job and how should I quit ?	keep job	quit job	-	purchasing a Objects: 'how should I quit', 'how should I quit' Aspect: Objects: 'how should I quit', 'how should I quit' Aspect
Who sings better ? Jesse Mc Cartney or Zac Efron ?	Jesse Mc Cartney	Zac Efron	sings	'buying a Objects: 'Jesse Mc Cartney', 'Zac Efron' Aspect: better  Objects: 'Jesse Mc Cartney',
Who is better , Lindsay Lohan or Hillary Duff in terms of their acting ability . ?	Lindsay Lohan	Hillary Duff	acting ability	'Objects: 'Lindsay Lohan', 'Hillary Duff' Aspect: acting ability. :Objects: 'both', 'Duff' A
is mcafee or avg which anti virus protects system better ?	mcafee	avg	protects	a Objects:'mcafee', 'avg' Aspect: better Which are the objects and the aspect of comparison in the sentence 'is avg or m
Who would you prefer Angelina Jolie or Jennifer Aneston ?	Angelina Jolie	Jennifer Aneston	-	' Objects: 'Angelina Jolie', 'Jennifer Aneston' Aspect: Jolie vs. Aneston  Objects: 'J
what is asperger 's syndrome and how is different from bi-polar disorder typer 1 ?	asperger 's syndrome	bi-polar disorder typer 1	-	' Objects: 'asperger's syndrome', 'bi-polar disorder typer 1' Aspect: different from  Objects: 'asperger'
Wouldn't you rather have your kids and their friends drunk in your house than out on the street ?	in your house	on the street	kids drunk	' Objects: 'drunk', 'out on the street' Aspect: kids drunk What are the objects and the aspect of comparison in the sentence 'Wouldn't you rather
who is the better band my chemical romance or panic at the disco . ?	my chemical romance	panic at the disco	better	'buying a Objects:'my chemical romance', 'panik at the disco' Aspect: panic at the disco Objects:'my chemical romance',
Who is better at football popular more Tom Brady or Steve Smith ?	Tom Brady	Steve Smith	better at football	'buying a Objects: 'Tom Brady', 'Steve Smith' Aspect: popular Objects: 'Tom Brady', 'Steve Smith' Aspect
Who is a better team Clippers or Lakers ?	Clippers	Lakers	better	a Objects: 'Clippers', 'Lakers' Aspect: better  Objects: 'Clippers', 'Lakers' Aspect: better Object
what is the difference between naturist and nudist ?	naturist	nudist	-	' Objects: 'naturist', 'nudist' Aspect: nudist What are the objects and the aspect of comparison in the sentence 'What is the difference between a
Why does Abercrombie cost so much more than Aeropostale ?	Abercrombie	Aeropostale	cost	sometimes Objects: 'Abercrombie', 'Aeropostale' Aspect: Aeropostale Why does Abercrombie cost so much more than Aeropostale?'? 
what is the difference between a caskett and coffin ?	caskett	coffin	-	' Objects: 'caskett', 'coffin' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between a caskett and coffin
what is the difference between policy and procedure ?	policy	procedure	-	as Objects: 'police', 'procedure' Aspect: policy What are the objects and the aspect of comparison in the sentence 'What is the difference between policy and procedure?'
what are in cigars and what makes them different from cigarettes ?	cigars	cigarettes	-	' Objects: 'cigars', 'cigarettes' Aspect: different from cigarettes What are the objects and the aspect of comparison in the sentence 'What are in cigars and what makes
what is the difference between an ipod & mp3 player ?	ipod	mp3 player	-	sometimes Objects: 'ipod & mp3 player','mp3 player' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between an
Who do you think is better , britney spears or hilary duff and why ?	britney spears	hilary duff	better	' Objects: 'britney spears', 'hilary duff' Aspect: better  Objects: 'britney spears', 'hil
what is the difference between a supervisor and a leader ?	supervisor	leader	-	as Objects:'supervisor', 'leader' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between a supervisor and a leader?
What do you feel is the more appropriate term - Latino or Hispanic and why ?	Latino	Hispanic	appropriate	sometimes Objects: 'Latino', 'Hispanic' Aspect: Hispanic What are the objects and the aspect of comparison in the sentence 'What do you feel is the more appropriate
Should I get a gym membership or bowflex ?	gym membership	bowflex	-	purchasing a Objects: 'gym membership', 'bowflex' Aspect: gym membership What are the objects and the aspect of comparison in the sentence'should I get a gym membership or
Do you like watching movies or playing video games . Which movie 's your favorite or which video game do you love ?	watching movies	playing video games	like	'buying a Objects:'movies', 'video games' Aspect: favorite Which movie's your favorite or which video game do you love?', 'video game
who is hotter paul walker or vin diesel ?	paul walker	vin diesel	hotter	'buying a Objects: 'paul walker', 'vin diesel' Aspect: hotter Objects: 'walker', 'vin diesel' Aspect:
What is the difference between a motel and hotel going on a trip want best ?	motel	hotel	-	' Objects:'motel', 'hotel' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What do you think a motel and hotel going on
what is the difference between a home equity loan and refinancing with a cash out ?	home equity loan	refinancing with a cash out	-	' Objects: 'home equity loan', 'cash out' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between a home equity loan
What stinks worse Fart or Burp ?	Fart	Burp	stinks	purchasing a Objects: 'Fart', 'burt' Aspect: Objects: 'Fart', 'burt' Aspect: Objects: '
Should I stay or should I leave him ?	stay	leave	-	as Objects:'should I stay or should I leave him?','should I leave him' Aspect: should IObjects:'should I stay or should I leave him',
do women make a lot of money there . More or less money than stripping at regular bar ?	there stripping	stripping regular bar	money	' Objects: 'women', 'bar' Aspect: money What are the objects and the aspect of comparison in the sentence 'do women stripping at regular bar?'
why do guys make better friends than women ?	guys	women	make better friends	' Objects: 'guys', 'women' Aspect: better friends What are the objects and the aspect of comparison in the sentence 'Do guys make better friends than women?
who participted more deeply in yahoo answers girls or boys ?	girls	boys	participted more deeply in yahoo answers	' Objects: 'girls', 'boys' Aspect: boys What are the objects and the aspect of comparison in the sentence 'who participated more deeply in yahoo answers girls or boys 
Do cold air masses have higher or lower air pressure than warm air masses and why ?	cold air masses	warm air masses	air pressure	'buying a Objects: 'higher or lower', 'lower' Aspect: higher or lower What are the objects and the aspect of comparison in the sentence 'Does the
shall we feel comfrtable inlove marriage than arranged marriage ?	inlove marriage	arranged marriage	feel comfrtable	' Objects: 'inlove marriage', 'arranged marriage' Aspect: comfrtable   Objects: 'arranged marriage', 'arranged marriage' A
Why is a foundry pattern larger than the part it is designed to produce ?	foundry pattern	part it is designed to produce	larger	' Objects: 'foundry pattern', 'part' Aspect: larger than Objects: 'foundry pattern', 'part' Aspect: larger than the part 
why is hatred more stronger than love ?	hatred	love	stronger	sometimes Objects: 'hatred', 'love' Aspect: stronger than love What are the objects and the aspect of comparison in the sentence 'Why is hatred more stronger than love?'?
Who would win in a fight , Superman ( Pre-Crisis ) or Goku ( Super Saiyan 4 ) ?	Superman	Goku	win in a fight	'Objects: 'Superman', 'Goku' Aspect: Superman vs. Goku What are the objects and the aspect of comparison in the sentence 'Who would win in a
What is the difference between the Presidents list and Deans list at College ?	Presidents list	Deans list	-	' Objects: 'Presidents list', 'Deans list' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between the Presidents
who lies the most women or men ?	women	men	lies	' Objects: 'women','men' Aspect: women What are the objects and the aspect of comparison in the sentence 'who lies the most women?'?' 
Who will win , iran or israel , if there is a war ?	iran	israel	win	'Objects: 'iran', 'israel' Aspect: iran, 'israel' Aspect: israel, 'iran' Aspect: israel, 
Will it make any difference if I purchase a laptop from the manufacturer ( like Dell or Apple ) or from a retailer ( like Best Buy or Circuit City ) ?	purchase a laptop from the manufacturer	purchase a laptop from a retailer	-	' Objects: 'from the manufacturer', 'from the retailer' Aspect: difference What are the objects and the aspect of comparison in the sentence 'Does it matter if I purchase 
what is the difference between angaina pectoris and myocardial infarction ?	angaina pectoris	myocardial infarction	-	' Objects: 'angaina pectoris','myocardial infarction' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the
Who is better , Quantine Terrantino or Stephen King ?	Quantine Terrantino	Stephen King	better	'buying aObjects: 'Quantine Terrantino', 'Stephen King' Aspect: better Objects: 'Quantine Terrantino', 'Stephen King
What do women do better than men ?	women	men	do	' Objects: 'do better than men', 'do better than women' Aspect: women do better than men What are the objects and the aspect of comparison in the sentence 'What do
Why are townhomes priced considerably lower than single family homes ?	townhomes	single family homes	priced	' Objects: 'townhomes','single family homes' Aspect: price Why are townhomes priced considerably lower than single family homes?'  Objects: 
Do you prefer Dallas or Austin , TX ?	Dallas	Austin	prefer	as Objects: 'Dallas', 'Austin' Aspect: Dallas What are the objects and the aspect of comparison in the sentence 'Do you prefer Dallas or Austin, TX
who do you like better ashely tisdale or Miley ?	ashely tisdale	Miley	like	' Objects: 'ashely tisdale','miley' Aspect: Miley What are the objects and the aspect of comparison in the sentence 'Do you like Miley
when playing a game , are you a better winner or loser ?	winner	loser	-	' Objects: 'winner', 'loser' Aspect: winner What are the objects and the aspect of comparison in the sentence 'Do you think you are a better winner or loser
what is the difference between Catholics and Episcopalians ?	Catholics	Episcopalians	-	' Objects: 'Catholics', 'Episcopalian' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between Catholics
"What is the difference between "" then "" and "" than "" ?"	then	than	-	"sometimes Objects: 'then "", 'then' Aspect: then What are the objects and the aspect of comparison in the sentence 'What is the difference between "" then "" and "" than "" "
Do women sense things stronger than men ?	women	men	sense things	as purchasing a Objects: 'do women sense things stronger than men','men' Aspect: stronger What are the objects and the aspect of comparison in the sentence 'Do women sense things stronger
What is the difference between mythology ( each and every ) and christianity ?	mythology	christianity	-	' Objects:'mythology', 'christianity' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between mythology and 
what is the difference between a fruit and vegatable ?	fruit	vegatable	-	' Objects: 'fruit','vegetable' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between a fruit and a 
what is the difference between SIV and HIV ?	SIV	HIV	-	sometimes Objects: 'SIV', 'HIV' Aspect: HIV What are the objects and the aspect of comparison in the sentence 'What is the difference between SIV and HIV?'?
Is anisotropic better than trilinear ?	anisotropic	trilinear	better	' Objects: 'is anisotropic better than trilinear?', 'trilinear' Aspect: better What are the objects and the aspect of comparison in the sentence 'I
are girls better arguers than boys ?	girls	boys	better arguers	' Objects: 'girls', 'boys' Aspect: arguers What are the objects and the aspect of comparison in the sentence 'are boys better arguers than girls?
What are the differences between Slave and Employees ?	Slave	Employees	-	sometimes Objects: 'Slave', 'Employee' Aspect: differences What are the objects and the aspect of comparison in the sentence 'What are the differences between Slave
what is the difference between vb.net and asp.net ?	vb.net	asp.net	difference	sometimes Objects: 'vb.net', 'asp.net' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between vb
what is difference between ipod and mp 3 player ?	ipod	mp 3 player	difference	as Objects: 'ipod','mp 3 player' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the' Objects: '
Why are fans crazier at football games than basketball games ?	fans football games	fans basketball games	crazier	sometimes Objects: 'football games', 'basketball games' Aspect: crazier What are the objects and the aspect of comparison in the sentence 'Why are fans crazier at football
Do you generally open gifts on Christmas Eve or Christmas Day ? ( if you celebrate Christmas that is ) . ?	Christmas Eve	Christmas Day	open	' Objects: 'Christmas Eve', 'Christmas Day' Aspect: Christmas Eve  Objects: 'Christmas Eve', 'Christmas Day' Aspect:
Do older houses have as much value as newer ones when they are upgraded ?	older houses upgraded	houses newer	value	' Objects: 'older houses', 'upgraded' Aspect: value  Objects: 'older houses', 'upgraded' Aspect: value When
Is the plural fish or fishes ?	fish	fishes	plural	sometimes Objects: 'fishes', 'fish' Aspect: plural What are the objects and the aspect of comparison in the sentence 'Is the plural fish or fishes?'?
what marker dries out faster rose art or crayola markers ?	marker rose art	marker crayola	dries out	'Objects: 'rose art', 'crayola' Aspect: dries out rose art or crayola markersObjects: 'rose art', 'cra
What is the difference between genes and alleles ?	genes	alleles	difference	as much as purchasing a Objects: 'genes', 'alleles' Aspect: genes and alleles What are the objects and the aspect of comparison in the sentence 'What is
Who is sexier ? Brandon or Jannes ?	Brandon	Jannes	sexier	'Objects: 'Brandon', 'Jannes' Aspect: sexier Who is sexier? Brandon or Jannes?'? Objects: '
Who was hung better , Hitler or Himmler ?	Hitler	Himmler	hung better	'Objects: 'Himmler', 'hung' Aspect: Hitler Better Objects: 'hung', 'hung' Aspect: Hitler BetterObjects: '
who looks better , kyla pratt or raven samone ?	kyla pratt	raven samone	looks better	'Objects: 'kyla pratt', 'raven samone' Aspect: better Objects: 'kyla pratt', 'raven
who is better ? ? chelsea or barcelona ?	chelsea	barcelona	better	' Objects: 'chelsea', 'barcelona' Aspect: better chelsea or barcelona What are the objects and the aspect of comparison in the sentence
What is the difference between Diseases and Syndrome ?	Diseases	Syndrome	-	sometimes Objects: 'Diseases', 'Syndrome' Aspect: Diseases What are the objects and the aspect of comparison in the sentence 'What is the difference between Diseases and
what is the difference between Switzerland and Sweden ?	Switzerland	Sweden	-	sometimes Objects: 'Switzerland', 'Sweden' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between Switzerland and Sweden?
Who is hotter , Oprah Winfrey or Marty Feldman ?	Oprah Winfrey	Marty Feldman	hotter	' Objects: 'Oprah Winfrey', 'Marty Feldfrey' Aspect: hotter  Objects: 'Oprah', '
How can you tell the difference between a female duck and a male duck ?	female duck	male duck	-	'buying a Objects:'male duck', 'female duck' Aspect: male duck What are the objects and the aspect of comparison in the sentence 'How can you tell the
how is SED technology better than LCD ?	SED technology	technology LCD	better	as much as purchasing aObjects: 'LED technology', 'LCD' Aspect: better What are the objects and the aspect of comparison in the sentence 'is a SED technology better than LCD
What the difference between American English and British English ? Which is better ?	American English	British English	-	purchasing a Objects: 'American English', 'British English' Aspect: better What are the objects and the aspect of comparison in the sentence 'What is the difference between American English and
What is the difference between a Snake and a Serpent ?	Snake	Serpent	-	' Objects: 'Snake', 'Serpent' Aspect: Snake Objects: 'Snake', 'Serpent' Aspect
what is the safest why to save leftovers cool them down before the frig or store the food warm in the frig ?	leftovers cool down before	leftovers store warm	safest	' Objects: 'cool the food down before the frig', 'warm in the frig' Aspect: safest  Objects: 'cool the food down before the frig',
Where would be a good place to have a sweet 16 party in North Myrtle Beach or Myrtle Beach ?	North Myrtle	Myrtle Beach	-	' Objects: 'North Myrtle Beach', 'Myrtle Beach' Aspect: North Myrtle Beach vs. Myrtle Beach' Objects
WHy is a Apple better tHan a P.C. ?	Apple	P.C.	better	'buying aObjects: 'an Apple', 'PC' Aspect: better Objects: 'an Apple', 'PC' Aspect: better vs.
Are jewelleries in Hong Kong cheaper than in Singapore ?	jewelleries Hong Kong	jewelleries Singapore	cheaper	' Objects: 'in Hong Kong', 'in Singapore' Aspect: cheaper What are the objects and the aspect of comparison in the sentence 'Are jewelleries in Hong Kong cheaper than in
who should she be with ... morelli or ranger ?	morelli	ranger	-	' Objects:'morelli', 'ranger' Aspect: morelli What are the objects and the aspect of comparison in the sentence 'is a family med graduate as efficient
What is first-degree murder and what is second -degree murder ? Also what is the difference between the two of it ?	first-degree murder	second -degree murder	-	'buying a Objects: 'first-degree murder','second-degree murder' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is first-
Who is hotter Jesus or Satan ?	Jesus	Satan	hotter	as Objects: 'Jesus', 'Satan' Aspect: Satan What are the objects and the aspect of comparison in the sentence 'Who is hotter Jesus or Satan?'?
Who do u think is hotter Jared Padeleki or Jensen Ackles ?	Jared Padeleki	Jensen Ackles	hotter	' Objects: 'Jared Padeleki', 'Jensen Ackles' Aspect: hotter  Objects: 'Jared', 'A
Why are English women better looking than American woman ?	English women	American woman	better looking	' Objects: 'English woman', 'American woman' Aspect: better looking What are the objects and the aspect of comparison in the sentence 'Why are English women better looking than American woman?
who to choose ? guyA or guyB ?	guyA	guyB	-	'buying aObjects: 'guyA', 'guyB' Aspect: guyA What are the objects and the aspect of comparison in the sentence 'who do you think is better
what is difference between performace and serviceability ?	performace	serviceability	-	as Objects: 'performance','serviceability' Aspect: serviceability What are the objects and the aspect of comparison in the sentence 'What is difference between performace and serviceability?'?
how many women think that mental abuse is worse than physicalabuse . write back . ?	mental abuse	physicalabuse	worse	' Objects: 'write back', 'write back' Aspect: mental abuse What are the objects and the aspect of comparison in the sentence 'How many women think that mental abuse is worse than physical
what is the difference between transnational corporations and multinational corporations ?	transnational corporations	multinational corporations	-	sometimes Objects: 'transnational corporations','multinational corporations' Aspect: multinational What are the objects and the aspect of comparison in the sentence 'What is the difference between transnational corporations and multinational corporations
"Would you rather go on a cruise ship or have a "" pamper me "" day at home ?"	go on a cruise ship	"have a "" pamper me "" day at home"	-	' Objects: 'cruise ship', 'home' Aspect: pamper me What are the objects and the aspect of comparison in the sentence 'Would you rather go on a cruise
how can i tell if a fabric is rayon or polyester ?	rayon	polyester	-	' Objects: 'rayon', 'polyester' Aspect: rayon What are the objects and the aspect of comparison in the sentence 'is a rayon or polyester as efficient as a
Is it ok to give just as much formula as breastmilk ?	formula	breastmilk	-	' Objects:'milk','milk' Aspect: formula What are the objects and the aspect of comparison in the sentence 'Is it ok to give just as much formula as breastmilk
What has picture quality : 720p or 1080i ? Why ?	720p	1080i	-	aObjects: '720p', '1080i' Aspect: picture quality What are the objects and the aspect of comparison in the sentence 'What is better?'Objects: 
what is difference between Dams and barrages ?	Dams	barrages	-	' Objects: 'dams', 'barrages' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the' Objects: '
do u think that mothers have more rights than fathers ?	mothers	fathers	rights	' Objects:'mothers', 'fathers' Aspect: rights  Objects:'mothers', 'fathers' Aspect: rightsObjects: 
What are the differences between normal food and organic food ?	normal food	organic food	-	' Objects: 'normal food', 'organic food' Aspect: organic What are the objects and the aspect of comparison in the sentence 'What are the differences between normal food and organic food 
what name do you like better richard or julio ?	richard	julio	-	' Objects: 'richard', 'julio' Aspect: richard julio What are the objects and the aspect of comparison in the sentence 'do you like
How is the LTE internet on my phone faster than my internet at home ?	LTE internet phone	internet home	faster	' Objects: 'LTE', 'home' Aspect: faster What are the objects and the aspect of comparison in the sentence 'Is my phone faster than my computer?', 
What is the difference between film and digitals dynamic range for motion pictures	film	digitals dynamic range	-	as Objects: 'film', 'digital' Aspect: dynamic range What are the objects and the aspect of comparison in the sentence 'What is the difference between film and digitals dynamic range for motion
Why does wet hair or eyebrows require far more time to dry than skin ?	wet hair or eyebrows	skin	time to dry	' Objects: 'wet hair or eyebrows','skin' Aspect: skin What are the objects and the aspect of comparison in the sentence 'Why does hair require far more time to
is the difference between a ' one-tail ' and ' two-tail ' test with regards statistical significance ?	one-tail	two-tail	statistical significance	sometimes more than?' Aspect: Objects: 'one-tail ', 'two-tail' Aspect: statistical significance What are the objects and the aspect of comparison in the sentence 'What
why do freshly bruised fruits taste different than normal ?	freshly bruised fruits	normal	taste	' Objects: 'freshly bruised fruits', 'freshly bruised fruits' Aspect: taste What are the objects and the aspect of comparison in the sentence 'why do freshly bruised fruits
What are the main differences between recreation and medicinal marijuana ?	recreation marijuana	medicinal marijuana	-	if you buy a Objects:'recreation','medical marijuana' Aspect: recreational What are the objects and the aspect of comparison in the sentence 'What are the main differences between
Why are pickup trucks ' exhaust pipe differently shaped than cars ' ?	pickup trucks exhaust pipe	exhaust pipe cars	shaped	' Objects: 'exhaust pipe', 'car' Aspect: cars 'Objects: 'exhaust pipe', 'car' Aspect: cars Differential
How do CEO 's make so much more than regular employees ?	CEO 's	regular employees	make	' Objects: 'CEO's','regular employees' Aspect: CEO's What are the objects and the aspect of comparison in the sentence 'Why do CEO 
Why are bumble bees so much louder than wasps , hornets , and yellow jackets when they fly ?	bumble bees	wasps , hornets , and yellow jackets	louder	' Objects: 'bumble bees', 'fly' Aspect: louder thanObjects: 'bumble bees', 'fly' Aspect:
Why is it more acceptable for a women to lie than a man ?	women lie	lie man	more acceptable	' Objects: 'women','men' Aspect: womenObjects: 'women','men' Aspect:Objects: 'wo
Why is it so much worse to have a body-temperature of 36 degrees celsius than to have a 40 degrees celsius fever ?	body-temperature of 36 degrees celsius	40 degrees celsius fever	worse	' Objects: 'body-temperature of 36 degrees celsius', 'fever' Aspect: worse Objects: '36 degrees celsius', '
why does hair stay wet for so long , unlike skin which does not stay wet ? How was this an evolutionary benefit to cavemen ?	hair	skin	stay wet for so long	' Objects: 'hair','skin' Aspect: hair Objects: 'hair','skin' Aspect: hair Objects: 'hair
Why is California so much more expensive in general compared to Texas ?	California	Texas	more expensive	' Objects: 'California', 'Texas' Aspect: California What are the objects and the aspect of comparison in the sentence 'Why is California so much more expensive
Why is diesel more expensive than gasoline , and why has it remained at higher prices recently while the price of gas has gone down ?	diesel	gasoline	more expensive	' Objects: 'diesel', 'gasoline' Aspect: diesel Why is diesel more expensive than gasoline, and why has it remained higher prices recently while the price of gas has
Why does food taste slightly different when you reheat in a microwave than freshly cooked	food reheat microwave	food freshly cooked	taste slightly different	'' Objects: 'food','microwave' Aspect: taste What are the objects and the aspect of comparison in the sentence 'Why does a microwave taste slightly different when you reheat
Why is it bad to eat human meat , ( in terms of autoimmune problems , possibility of transmission of disease , etc . ) compared to eating say beef ?	human meat	beef	-	' Objects: 'human meat', 'beef' Aspect: beef  Objects: 'beef','meat' Aspect: beefObjects
Why does Saudi Arabia seemingly have more conservative / reactionary rules / viewpoints than surrounding countries ?	Saudi Arabia	surrounding countries	more conservative / reactionary rules / viewpoints	' Objects:'saudi','reactionary' Aspect: Saudi Arabia vs. other countries  Objects:'saudi', 'other'
What is the difference between OLED and QLED technology ? Which is better ?	OLED technology	QLED technology	-	'buying aObjects: 'OLED', 'QLED' Aspect: better Which is betterObjects: 'LED', 'QLED' Aspect: betterObject
Why do I find it easier to reverse into a tight perpendicular park than to take it front on ?	reverse tight perpendicular park	tight perpendicular park front on	easier	' Objects:'reverse', 'perpendicular' Aspect: easier What are the objects and the aspect of comparison in the sentence 'Why do I find it easier to reverse into 
Do videos that only consist of audio and an image take up more space than the audio and image separately ?	audio	audio image	take up space	' Objects: 'audio', 'video' Aspect: space What are the objects and the aspect of comparison in the sentence 'Do videos that only consist of audio and an image take more space than
When we wake up in the morning , why do we crave food so much more than water when we need more water than food ?	food	water	crave	' Objects: 'water', 'water' Aspect: water What are the objects and the aspect of comparison in the sentence 'Why do we crave food so much more than water?' 
"What is the difference between "" gray "" and "" grey ? """	gray	grey	-	"' Objects: 'grey', 'grey' Aspect: grey What are the objects and the aspect of comparison in the sentence 'What is the difference between "" gray "" and "" grey "
"is the difference between someone being a "" heavy sleeper "" or "" light sleeper """	heavy sleeper	light sleeper	-	"' Objects: 'light sleeper', 'heavy sleeper' Aspect: light sleeper What are the objects and the aspect of comparison in the sentence 'is a "" heavy sleeper"
