sentence	obj-1	obj-2	aspect	flant5xl_fewshot
"Why is classical music named things like "" symphony no . 5 "" and not catchier titles similar to modern pop songs ?"	classical music	modern pop songs	-	Objects: classical music, modern pop songs Aspect: similar
Is the world as a whole polluting less now than in previous years ?	now	previous years	polluting less	Objects: world as a whole, previous years Aspect: polluting
Are 2-hour naps plus 6 hours of sleep better or worse than 7 hours of sleep ? Why or why not ?	2-hour naps plus 6 hours of sleep	7 hours of sleep	better or worse	naps, sleep, 7 hours of sleep Aspect: better
Can someone please explain the difference between Christianity and Catholicism to me	Christianity	Catholicism	-	Objects: Christianity, Catholicism Aspect: difference
Why waiting to use your phone after it 's fully charged is better than charging it for a little bit and then using it ?	waiting to use your phone after it 's fully charged	charging it for a little bit and then using it	better	Objects: phone, fully charged, charging it for a little bit Aspect: better
What makes getting back to sleep so easy compared to going to sleep	getting back to sleep	going to sleep	easy	Getting back to sleep, Going to sleep Aspect: easy
Why does natural peanut butter have more calories than processed peanut butter ?	natural peanut butter	peanut butter processed	more calories	Objects: natural peanut butter, processed peanut butter Aspect: calories
How come in the morning the hot water feels much hotter than after a workout ?	morning	after a workout	-	Objects: morning, hot water Aspect: hotter
What is the difference between bone and shell ?	bone	shell	-	Objects: bone, shell Aspect: difference
What makes banning guns different from prohibition ?	banning guns	prohibition	-	Objects: banning guns, prohibition Aspect: different
Why are ARM processors so much more power efficient than x86 processors ?	ARM processors	x86 processors	power efficient	ARM processors, x86 processors Aspect: efficient
does a square bottle use less plastic than a round bottle ?	square bottle	round bottle	plastic	a square bottle, a round bottle Aspect: plastic
Why is it much easier for a child to laugh than an adult ?	child	adult	to laugh	a child, an adult Aspect: easier
Why when I eat really spicy food , the spicy part travels to my anus faster than the rest of the food ?	the spicy part	the rest of the food	travels	eat really spicy food, spicy part travels to my anus faster than the rest of the food Aspect: faster
What makes a manual transmission better than an automatic , wouldn't the automatic eliminate human error ?	manual transmission	transmission automatic	better	Objects: automatic, manual transmission Aspect: eliminate
What is the difference between left-wing and right-wing politics ?	left-wing politics	right-wing politics	-	wing, politics Aspect: difference
is the difference between legislative lobbying and regulatory lobbying ?	legislative lobbying	regulatory lobbying	-	lobbies, lobbying Aspect: lobbying
are there much more right-handed people than left-handed people ?	right-handed people	left-handed people	more	Objects: right-handed, left-handed Aspect: more
How is Google fiber different than Facebook free basics when it comes to preserving net neutrality ?	Google fiber	Facebook free basics	net neutrality	Objects: Google fiber, Facebook free basics Aspect: different
Why are the numbers on my dial-pad ( phone ) in a different order than on my number-pad ( keyboard ) ?	numbers dial-pad	numbers number-pad	order	Objects: phone, number-pad Aspect: different
why do standard black vinyl records sound different ( better ? ) than colored / clear ones ?	standard black vinyl records	records colored / clear	sound	Objects:'standard black vinyl records', 'colored / clear ones' Aspect: different
What are idealism and realism ? What are the differences between the two ?	idealism	realism	-	realism, idealism Aspect: differences
Why is an itch more satisfying from a sharper object than a dull object ?	itch sharper object	itch dull object	satisfying	itch, object Aspect: satisfying
What is the difference between red herring and non-sequitur ?	red herring	non-sequitur	-	Objects: red herring, non-sequitur Aspect: difference
How a drink that has a value of 0 for everything isn't practically as good for you as water ?	drink that has a value of 0 for everything	water	good for you	a drink, water Aspect: good
do we bury the dead in a horizontal position , rather than vertically ?	horizontal position	vertically	bury the dead	bury the dead, horizontally, vertically Aspect: horizontally
why do saltwater fish generally grow bigger and show more colors than freshwater fish ?	saltwater fish	freshwater fish	grow bigger and show	Objects: saltwater fish, freshwater fish Aspect: grow bigger, show more colors
wouldn't light fired from a moving object not be faster than light fired from an object at rest relative to the object at rest ?	light fired from a moving object	light fired from an object at rest	faster	Objects: light, moving object, object at rest, relative
Why is the second day of an injury general worse than the first day ?	second day injury	injury first day	worse	Objects: injury, day Aspect: worse
Why do advertisements load faster than the video on YouTube ?	advertisements	video	load	Objects: advertisements, video Aspect: faster
Why are phone screens harder to see in bright daylight than in the dark ?	phone screens bright daylight	phone screens in the dark	harder to see	Objects: phone screens, daylight, dark
is the difference between a bachelor of science and a bachelor of arts ?	bachelor of science	bachelor of arts	-	Objects: bachelor of science, bachelor of arts Aspect: difference
What is the difference between suicide inhibitors and irreversible inhibitors ?	suicide inhibitors	irreversible inhibitors	-	Objects: suicide inhibitors, irreversible inhibitors Aspect: difference
Why is it windier at night than during the day ?	night	day	windier	Objects: 'night', 'day' Aspect: day
When lifting weights . What 's the difference between doing 1 - 5 reps with heavy weight and 8 - 12 reps with medium weights ?	1 - 5 reps with heavy weight	8 - 12 reps with medium weights ?	-	Objects: heavy weight, reps
Why is a brush of wind so much colder to our skin when it ’s wet rather than dry ?	brush of wind wet	brush of wind dry	-	a brush of wind, skin Aspect: colder
Why does a red laser pointer show up on lighter surfaces better than dark ones ?	lighter surfaces	surfaces dark	-	Objects: a laser pointer, surfaces
Is making a smoothie out of my daily vegetables significantly worse than eating them whole ?	making a smoothie vegetables	vegetables eating them whole	worse	Objects: a smoothie, eating them whole Aspect: worse
Why is diet coke said to be worse for your body than normal coke ?	diet coke	normal coke	worse	Objects: diet coke, normal coke Aspect: worse
do females on average , live longer than men ?	females	men	live	Objects: 'live longer','men' Aspect: live
Why do people traveling at high speeds experience time slower than those traveling at slower speeds ?	people high speeds	people slower speeds	time	Objects: 'high speeds','slower speeds' Aspect: faster
Would snow put out a fire faster or slower than rain ?	snow	rain	put out a fire	Objects: snow, rain Aspect: faster, slower
Why are more men than women likely to live at home with parents ?	men	women	live at home with parents	Objects: men, women Aspect: likely
"What is the difference between "" Nautical Miles "" and "" Statute Miles "" , and why don't we use just one uniform measurement ?"	Nautical Miles	Statute Miles	-	Objects: 'Nautical Miles', 'Statutory Miles' Aspect: measurement
Why is porn more censored than violence ?	porn	violence	censored	Objects: porn, violence Aspect: censored
why do digital copies of movies / video games / music cost just as much ( sometimes more than ) as purchasing a hard disc copy ?	digital copies	hard disc copy	cost	Objects: 'digital copies', 'hard disc copy' Aspect: cost
